"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.183001.183300",-1.75024548926742,0,-2.36418383805857,-2.60326676276051,0
"CM002236.1.183301.183600",-1.80195298368074,0,-2.18514604051175,-2.90884311575889,0
"CM002236.1.183601.183900",-2.13905206326418,0,-1.98456019982266,-3.26427805559823,0
"CM002236.1.183901.184200",-1.84349367232301,0,-2.28324501686499,-3.17381773367311,0
"CM002236.1.184201.184500",0,0,-1.86901251412746,-3.03083813267854,0
"CM002236.1.184501.184800",0,0,-2.20997538525913,-3.18304817400799,0
"CM002236.1.186301.186600",-1.60893687772745,0,-2.23132959070962,-2.99501883913294,0
"CM002236.1.186601.186900",-1.71784519789476,0,-2.96414366679063,-2.4300763306814,0
"CM002236.1.186901.187200",-2.01874922854933,0,-3.1215657116416,-2.73137526376186,0
"CM002236.1.187201.187500",-2.33039039874671,-1.89558388353741,-3.38438919362985,-3.90001394857973,0
"CM002236.1.187501.187800",-2.37944070364325,-2.12983066171016,-3.73944718759524,-3.82298757306391,0
"CM002236.1.187801.188100",-2.41891653122821,-1.64415408365515,-2.9510596301832,-3.10059786174963,0
"CM002236.1.188701.189000",-2.57470779972058,-1.82539114080808,-3.44897679899156,-3.97753313561645,0
"CM002236.1.189001.189300",-1.56839447123142,0,-2.60915695766874,-3.49117113351931,0
"CM002236.1.190501.190800",-1.92122339792892,-1.63953183155975,-3.67870655518463,-3.46331023513767,0
"CM002236.1.190801.191100",-1.7002627581422,-1.70414386881815,-3.51646921659666,-3.30673312152653,0
"CM002236.1.193201.193500",0,0,-2.62589666180176,-2.39883061265337,0
"CM002236.1.193501.193800",-1.49852418952725,-1.57930018129167,-3.24153594215388,-2.75265532098523,0
"CM002236.1.195901.196200",-2.46401106307785,-2.66290211542987,-5.03670386175254,-3.67171556730545,0
"CM002236.1.208501.208800",0,0,-3.17992315330111,-3.09707422208863,0
"CM002236.1.208801.209100",0,0,-3.22761550202785,-3.22264911047634,0
"CM002236.1.210601.210900",-1.70292675109147,0,-3.61610767165076,-3.73108259097195,0
"CM002236.1.210901.211200",-1.88425054812178,0,-3.97508278282647,-4.42597592482315,0
"CM002236.1.211201.211500",-1.91920444351473,-2.2419089499394,-4.70931350409977,-3.90718150472546,0
"CM002236.1.211501.211800",-2.08737768645892,-1.99309659769158,-4.16841829707302,-3.90534394566508,0
"CM002236.1.211801.212100",-1.90778164559699,-1.71408020269005,-4.41640960133594,-3.81793215980203,0
"CM002236.1.212101.212400",-1.79563743521429,-1.72509092464936,-3.97898344905913,-4.19943793393026,-1.50257694383013
"CM002236.1.214801.215100",-1.52772675923754,0,-1.90986530746872,-4.28840724983212,0
"CM002236.1.215101.215400",0,0,0,-3.39437063001958,0
"CM002236.1.215401.215700",0,0,-1.40096143966882,-4.31373851887208,0
"CM002236.1.219601.219900",0,0,0,-3.17196851748855,0
"CM002236.1.219901.220200",0,0,0,-3.71852570788695,0
"CM002236.1.220201.220500",0,0,0,-3.5581415104943,0
"CM002236.1.220501.220800",0,0,0,-3.06860021514649,0
"CM002236.1.240001.240300",0,0,0,0,0
"CM002236.1.240301.240600",0,0,0,0,0
