"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002237.1.74342.75342",0,0,-3.05434831942798,-2.42772694537761,-2.41724806500063
"CM002237.1.75400.76400",0,0,-3.01044028889917,-1.68925770010584,-2.51581957818764
"CM002237.1.75424.76424",0,0,-3.03586370522609,-1.6963022520313,-2.54740095317404
"CM002237.1.106019.107019",0,0,-3.51575814155519,-2.72529308996465,-1.92693986814626
"CM002237.1.148334.149334",0,0,-3.02724366309688,-2.13061911776334,-2.28205375383444
"CM002237.1.561860.562860",-1.75132601776232,-1.82918150308302,2.18233597897541,-1.57939198491217,-2.75217532179621
"CM002237.1.563402.564402",-1.7866018423458,-2.28332417525984,2.12813857381277,-1.93637783208964,-3.11413050864751
"CM002237.1.567505.568505",-1.67394692595254,-1.89734550725905,2.1652632268513,-2.13185518279899,-3.25849923568787
"CM002237.1.570312.571312",-1.28979636743192,-1.87679351831503,2.34912053049688,-1.69627923736904,-3.0212394667041
"CM002237.1.584152.585152",-1.02787912532842,-1.04714366456794,2.95994989122103,0,-1.63449505184758
"CM002237.1.1678593.1679593",-2.43329728844345,-1.21760687984298,0,-2.66350228564188,-2.27071810780032
"CM002237.1.1679516.1680516",-2.76831901230568,-1.23279875899045,0,-2.33449345011231,-2.18590537943468
"CM002237.1.1684546.1685546",-2.93001831056915,-2.68782354685063,0,-1.70162378616584,-3.15218689346738
"CM002237.1.1684913.1685913",-2.94197309185233,-2.63031270747691,0,-1.54192060711665,-2.92509179763469
"CM002237.1.4046143.4047143",0,0,1.04016234074799,-1.7661438605468,-2.8067745028473
"CM002237.1.4165274.4166274",0,0,2.31101204308696,-1.266232284932,-1.95689966633524
"CM002237.1.4297462.4298462",-1.39884113513344,-1.09327574341749,-1.72529138620627,-0.902620693546432,0
"CM002237.1.4448862.4449862",0,0,-3.98483540665342,-3.22382537859391,-1.74669863433157
"CM002237.1.4452364.4453364",0,0,-4.01916487040453,-2.76267508673998,-1.74927416601072
"CM002237.1.4465317.4466317",0,0,-4.14513238823118,-3.31932958190623,-1.04156479850047
"CM002237.1.4467612.4468612",0,0,-3.5577906230842,-2.7526987672591,-1.03976894423107
"CM002238.1.8256.9256",1.45224717862411,0,-3.32302882517867,-3.14705404252957,0
"CM002238.1.11870.12870",0,0,-4.52598974383091,-3.78158522782664,-1.23573553678208
"CM002238.1.28170.29170",0,0,-3.18657033882317,-2.30259851559213,0
"CM002238.1.30599.31599",0,0,-3.24653561492004,-2.72232451844416,0
"CM002238.1.161404.162404",0,0,-3.11428978819081,-2.46065496330025,-3.29222068414673
"CM002238.1.162882.163882",0,0,-2.7725539132286,-2.07484911476399,-2.65051621701811
"CM002238.1.167007.168007",0,0,-2.64812275451066,-2.23887507799936,-1.77230312894998
"CM002238.1.200169.201169",0,-0.818781770304786,-2.6648847181777,-2.33923199464608,-1.54840196192561
"CM002238.1.218438.219438",0,0,-1.65141428601889,-3.64273095781938,-1.38614813468592
"CM002238.1.221618.222618",0,0,-2.99048774554898,-2.79386310497458,-1.24717350723404
"CM002238.1.223109.224109",0,0,-2.19191387502575,-2.32049962341783,-1.52932189231408
"CM002238.1.223365.224365",0,0,-2.07738345807482,-2.48987724382458,-1.52466076559021
"CM002238.1.224708.225708",0,0,-2.48788145579281,-4.27491350904494,-2.62232890207426
"CM002238.1.229458.230458",0,0,-1.58215886589188,-3.76405642494123,-1.84953955297958
"CM002238.1.233968.234968",0,0,-1.57248651212316,-4.02274065579652,-1.97473664653223
