"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002237.1.4465317.4468439",3.26172451657541,3.12996797389812,3.01326800437388,-0.847997804820343,0,2.4545118040654
"CM002237.1.4467612.4470618",3.56463698330629,4.27806473011199,3.99709185287231,-0.547963605099086,0,2.39850122856029
"CM002238.1.8256.12729",4.0186240531085,4.74282992056918,4.44793095267084,-0.62890767906914,0,2.90367551322165
"CM002238.1.11870.14169",3.97012824798132,4.3421158147793,4.24336491985695,-0.586833392264914,0,3.05832123966807
"CM002238.1.28170.30638",2.76835571696191,2.65872850228659,2.21563688600955,-0.74709823771461,0,2.67241727757932
"CM002238.1.30599.31686",2.61840652405036,2.61839072831684,2.40857717851553,-0.691672306818142,0,2.35063054078031
"CM002238.1.159464.162404",2.54004367676671,2.41252249112095,2.21314656308771,-0.544229111381488,0,0
"CM002238.1.162882.164706",2.47669157434899,2.07006968823917,2.08530041134951,0,0,0
"CM002238.1.165972.168007",2.64781074746552,2.67366086724344,2.85520683527642,0,0,1.24532850350098
"CM002238.1.199774.201169",2.62296640244072,2.22617852159397,1.91309479169913,0,0,1.27607970409683
"CM002238.1.218438.219552",3.76699363466514,3.94589886529729,3.82062693553126,2.09172123862521,0,2.42935228876763
"CM002238.1.219918.222618",3.62782384744045,3.27015601524294,3.11213195520919,0,0,2.18304086280223
"CM002238.1.223109.224199",2.12530864676037,2.40775117066501,2.29003188071294,0,0,0.556858376411243
"CM002238.1.223365.225339",3.13863316206775,3.19178924505329,3.16771035148279,0.904742312107637,0,1.07911880315715
"CM002238.1.224708.227571",4.17265701986407,3.84742933862406,3.86949765168755,1.71124271673144,0,2.41443060332753
"CM002238.1.228015.230458",4.23250656633674,3.88970274342082,3.91185241145962,2.54778413874924,0,2.45548774708874
"CM002238.1.230216.234968",4.1161568318858,3.90397865428786,3.9500615283345,2.57811790868769,0,2.82771726133794
"CM002238.1.233920.236971",4.18351096309975,4.21925271909087,4.12232005765685,2.99646207518937,0,2.83754484147735
"CM002238.1.237023.239377",4.14241266962614,4.00692613183106,3.77633009364408,2.22617983912864,0,2.45841710094154
"CM002238.1.238407.241233",4.20271730548941,3.71609835525121,3.56921668859299,0.794835889204167,0,2.89806069002899
"CM002238.1.241500.244748",4.38345477497227,3.22935876109251,3.40850433176907,0.616055793040729,0,3.3415294676603
"CM002238.1.245252.248405",4.0695343739866,3.2264256494456,3.289550468552,1.1598117172717,0,3.00617695941617
"CM002238.1.250618.253198",3.21372030202515,2.97765821034232,2.62422552917771,0,0,1.71707956031941
"CM002238.1.263454.265422",4.3816669911594,4.67353093207388,4.65139254189694,3.87326555082848,0,2.90280769311897
"CM002238.1.265739.267175",3.48145852886863,4.19054439830233,3.76366510100799,1.77968247330941,0,1.2815556718797
"CM002238.1.268061.271142",3.74939743982873,4.0877855756227,3.57974364263659,1.72956307335106,0,1.76492085942884
"CM002238.1.271106.273360",4.47638577050073,4.74825059206208,4.63372980825644,4.39752066084417,0,2.40072941300727
"CM002238.1.272674.274366",4.83291669963459,5.10953479167841,5.08715056967165,4.90336630990232,0,2.67415083092808
"CM002238.1.273858.275686",4.28022788135784,4.72690280393929,4.78187484285891,4.19990602509029,0,1.67747333993825
"CM002238.1.275772.277640",1.33025700720797,1.39262972394958,1.40996563285629,0,0,-1.12477824132131
"CM002238.1.277683.280201",3.80859959174381,3.8943760336087,3.93378251643631,0.804293575996297,0,0.795567481663108
"CM002238.1.279999.282805",4.28504929659722,4.33364276352618,4.50375212030619,2.70570631745684,0,2.9441097861978
"CM002238.1.282888.286185",3.51657134408984,3.65117775206451,3.83083279536744,1.60200514781022,0,2.11400600127654
"CM002238.1.284489.287797",3.80936921251894,3.98252816279672,4.08045797745215,2.52619429563942,0,2.46041595968251
"CM002238.1.287850.291825",3.92133818238131,4.0162551115982,3.98099545735998,3.54596287920909,0,2.25839045258332
"CM002238.1.291002.295031",3.68487198086293,4.03237900002643,3.76987868365292,3.32644072179787,0,1.45505105673441
"CM002238.1.295247.296350",3.70358419618345,4.05644165227757,3.946984541633,3.37912911937236,0,1.43936233124484
"CM002238.1.296326.299561",4.11438689237528,4.39453864030796,4.32571805702475,4.44868813633815,0,2.07990438487479
"CM002238.1.298935.301267",4.08023785881175,4.42850333818518,4.43314281109124,4.70193148847612,0,2.36494846259556
"CM002238.1.341948.344583",2.95547832446739,3.56716875158871,3.57411296490231,3.52851029125571,0,0
"CM002238.1.343837.345608",3.34537887953827,3.94613973080367,3.90996733114764,3.91136019933457,0,0
"CM002238.1.381226.382889",4.11945300102871,4.30116618946544,4.38099132739282,4.77167694530393,0,0
"CM002238.1.384221.387039",3.67127719052438,3.55044717417642,3.72784635521449,4.34673501298026,0,0
"CM002238.1.386020.387656",3.71440092476509,3.90320211188009,4.03205230669344,4.69228890804306,0,0
"CM002238.1.388932.391336",4.14744160163177,4.41539842664518,4.51009714531935,5.02319018313692,0,1.46353264734717
"CM002238.1.391093.394053",3.56613741263795,3.7295975627846,3.79204383215906,4.21232712730009,0,0
"CM002238.1.393403.394979",3.76708343449285,4.17561892849586,4.05779532603526,4.59399219514706,0,0
"CM002238.1.395310.397505",4.05686213597632,4.45882369113327,4.37318246928146,4.98507673608916,0,1.01564522640566
"CM002238.1.398176.399894",4.10402252570154,4.59331869940584,4.48055582199168,4.79879938315591,0,1.63126700300207
"CM002238.1.400170.401661",2.81274654156855,3.10437390242124,3.27638313906961,3.41804723780338,0,0
"CM002238.1.401180.403426",1.67435090538517,1.36813064890146,1.81158100868445,2.90027907833356,0,-0.558007539471195
"CM002238.1.425597.427575",2.60537887615322,2.78057535093001,3.01223003612566,3.40584269003744,0,0.539816913177129
"CM002238.1.427249.429547",3.23031835749546,3.23407645406973,3.46502721927093,4.16091119799733,0,0.876568553415208
"CM002238.1.429336.431124",3.10827178330076,3.46108729556333,3.39195358218619,4.38154345729266,0,0
"CM002238.1.448519.450458",3.68885465766022,3.74740791942623,3.96314884561914,4.81801088245188,0,0
"CM002238.1.449716.453595",3.51496195864531,3.53186754043814,3.823683337558,4.64514432831401,0,0
"CM002238.1.453711.455278",3.23558853438966,3.51844155249618,3.69084348767763,4.70078755308538,0,0
"CM002238.1.454998.456457",2.91120251917898,3.13681463567714,3.28545358264713,4.38726279329532,0,0
"CM002238.1.456204.457978",2.63762940869546,2.74674094927356,3.02010808548774,4.14415521721789,0,-0.700422247411913
"CM002238.1.458930.460470",2.99482032851925,3.24299216201774,3.73254396785153,4.3997237386865,0,0
"CM002238.1.554278.557222",2.30695793845987,3.39267934949676,3.24345729069997,4.34472838005974,0,1.82366440562102
"CM002238.1.4573917.4576576",3.38524037887326,3.57149171497059,3.42663258399028,3.23821401089906,0,2.83967170320406
"CM002238.1.4605354.4606862",1.9105037906298,2.70044628659348,2.30897619835275,2.67455210966492,0,2.83498441000174
"CM002238.1.4626604.4627922",3.14827766076261,2.90458688921704,2.71802666733826,3.4865605734949,0,3.41978210782698
"CM002238.1.4630534.4633728",3.50682726501782,3.1328548632384,2.91566239279659,3.37944482364656,0,3.33213950380625
"CM002238.1.4634181.4637013",3.81468792531373,3.32450627826505,3.25773420834777,3.24482763677332,0,3.3202629511886
"CM002238.1.4638294.4640296",3.49983747004119,2.94737865919056,2.5653013820035,2.43882437127471,0,2.9976659310368
"CM002238.1.4639145.4641315",3.76312659521227,3.03148500481603,2.86036025484869,2.9970273287949,0,3.03739477637097
"CM002238.1.4644660.4646491",3.74610764648982,2.95311044485697,2.91708683488632,3.1646526216311,0,3.21039543008452
