"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002238.1.4605901.4606200",0,0,0,0,0
"CM002238.1.4606201.4606500",0,0,0,0,-1.44069455126965
"CM002238.1.4626901.4627200",0,0,0,0,0
"CM002238.1.4631101.4631400",0,0,0,0,-2.56014844567378
"CM002238.1.4631401.4631700",0,0,0,0,-1.82476331624767
"CM002238.1.4635901.4636200",0,0,0,0,-2.9013409339676
"CM002238.1.4636201.4636500",0,0,0,0,-2.13748395052079
"CM002238.1.4639201.4639500",0,0,0,0,-1.51435648819237
"CM002238.1.4639801.4640100",0,0,-1.79265422214788,0,-1.72298540384502
"CM002238.1.4640101.4640400",0,0,0,0,-2.22505770937997
"CM002238.1.4645201.4645500",0,0,-1.96733679226458,0,-2.86026984274605
"CM002238.1.4645501.4645800",0,0,-1.66922994783277,0,-1.94305744766295
"CM002238.1.4647001.4647300",0,0,0,0,-2.83950938632532
"CM002238.1.4647301.4647600",0,0,0,0,-1.43208051470315
"CM002238.1.4649101.4649400",0,0,0,0,-2.74041650213094
"CM002238.1.4649401.4649700",0,0,0,0,-2.64510978288426
"CM002238.1.4652101.4652400",0,0,0,0,-2.18151818909587
"CM002238.1.4654501.4654800",0,0,0,0,-2.09749682346903
"CM002238.1.4654801.4655100",0,0,0,0,-2.1941714547345
"CM002238.1.4656001.4656300",0,0,0,0,-2.15067062203951
"CM002238.1.4658401.4658700",0,0,0,0,-1.9865596647122
"CM002238.1.4673401.4673700",0,0,0,0,0
"CM002238.1.4673701.4674000",0,0,0,0,-1.46263005997559
"CM002238.1.4676101.4676400",0,0,0,0,-2.13708405728491
"CM002238.1.4676401.4676700",0,0,0,0,-1.70975011277592
"CM002238.1.4677601.4677900",0,0,0,0,-1.84341159601981
"CM002238.1.4677901.4678200",0,0,0,0,-1.98711600538452
"CM002238.1.4680001.4680300",0,0,0,0,-2.09910375364309
"CM002238.1.4684201.4684500",0,0,0,0,-2.2023806149256
"CM002238.1.4684501.4684800",0,0,0,0,0
"CM002238.1.4723801.4724100",0,0,0,0,0
"CM002238.1.4724101.4724400",0,0,0,0,0
"CM002238.1.4726201.4726500",0,0,0,0,-2.02815592566911
"CM002238.1.4726501.4726800",0,0,0,0,-1.92482067150435
"CM002238.1.4726801.4727100",0,0,0,0,-2.41315143480184
"CM002238.1.4732201.4732500",0,0,-1.56783999860063,0,-2.48565939857614
"CM002238.1.4732501.4732800",0,0,0,0,-1.75421348310454
"CM002238.1.4735501.4735800",0,0,0,0,-1.6799757716954
"CM002238.1.4735801.4736100",0,0,-1.84516519167057,0,-1.68189282635577
"CM002238.1.4742101.4742400",0,0,-2.01850066364044,0,-2.24053010573654
"CM002238.1.4742401.4742700",0,0,-2.25154307237448,0,-2.54428019121312
"CM002238.1.4743001.4743300",0,0,-2.14797563889981,0,-1.92763235951683
"CM002238.1.4745701.4746000",0,0,-2.82140950028749,0,-1.78003657024519
"CM002238.1.4746001.4746300",0,0,-3.05055701928752,0,-1.9638895104973
"CM002238.1.4749301.4749600",0,0,-1.58057194011419,0,-2.78154876212627
"CM002238.1.4751701.4752000",0,0,0,0,-1.763282762642
"CM002238.1.4752001.4752300",0,0,0,0,-2.79055418672027
"CM002238.1.4754401.4754700",0,0,-1.85812322032004,0,-2.36768032533163
"CM002238.1.4754701.4755000",0,0,-1.93932981363512,0,-2.14719980280839
"CM002238.1.4757101.4757400",0,0,-1.90271423464808,0,-1.84114619234611
"CM002238.1.4757401.4757700",0,0,0,0,-1.95743750417257
"CM002238.1.4759201.4759500",0,0,0,0,-2.47950094445765
"CM002238.1.4759501.4759800",0,0,-1.7260537579995,0,-2.11793654779474
"CM002238.1.4764301.4764600",0,0,-2.1361536726251,0,-1.77357107219263
"CM002238.1.4766101.4766400",0,0,0,0,-1.8227530916583
"CM002238.1.4768801.4769100",0,0,0,0,-2.53745536456542
"CM002238.1.4769101.4769400",0,0,0,0,-3.17363464320732
"CM002238.1.4769701.4770000",0,0,0,0,-1.81848443551086
"CM002238.1.4772401.4772700",0,0,0,0,-1.76204205558538
"CM002238.1.4772701.4773000",0,0,0,0,-1.82073248023612
"CM002238.1.4773001.4773300",0,0,0,0,-2.19964519345935
"CM002238.1.4775701.4776000",0,0,0,0,-2.76365152211333
"CM002238.1.4777801.4778100",0,0,0,0,-1.64558993271665
"CM002238.1.4780201.4780500",0,0,0,0,-2.69706097631049
"CM002238.1.4780501.4780800",0,0,0,0,-2.69412687515915
"CM002238.1.4782001.4782300",0,0,0,0,-1.68848161500934
"CM002238.1.4782301.4782600",0,0,-1.95276978308418,0,-2.02087698296067
"CM002238.1.4787401.4787700",0,0,-1.84993907867266,0,-2.38635464117278
"CM002238.1.4787701.4788000",0,0,-1.83323234325432,0,-2.1017873087021
"CM002238.1.4788301.4788600",0,0,-2.13223741818556,0,-2.45772818721858
"CM002238.1.4788601.4788900",0,0,-1.69270549248226,0,-2.44446926831344
"CM002238.1.4790101.4790400",0,0,-2.00091956231848,0,-2.82909426568274
"CM002238.1.4792201.4792500",0,0,0,0,-2.48700782079483
"CM002238.1.4792501.4792800",0,0,0,0,-2.1477898372059
"CM002238.1.4793701.4794000",0,0,0,0,0
"CM002238.1.4794001.4794300",0,0,-1.74803669402523,0,-1.46411104651468
"CM002238.1.4795801.4796100",0,0,0,0,-2.03279501496307
"CM002238.1.4797001.4797300",0,0,-2.46349967147561,0,-1.53683617360846
"CM002238.1.4799701.4800000",0,0,0,0,-2.06929739788596
"CM002238.1.4800001.4800300",0,0,0,0,-1.65735903107805
"CM002238.1.4804501.4804800",0,0,0,0,-1.62655213267331
"CM002238.1.4804801.4805100",0,0,0,0,-2.01102249201222
"CM002238.1.4806601.4806900",0,0,-1.78245834817898,0,-1.92203508171583
"CM002238.1.4806901.4807200",0,0,0,0,-2.28414407509388
"CM002238.1.4808701.4809000",0,0,0,0,-2.40644828656605
"CM002238.1.4809001.4809300",0,0,0,0,-2.44049011435875
"CM002238.1.4811401.4811700",0,0,0,0,-3.01163431901413
"CM002238.1.4814701.4815000",0,0,0,0,-1.7080165435819
"CM002238.1.4815001.4815300",0,0,0,0,-1.70154005970642
"CM002238.1.4818601.4818900",0,0,0,0,0
"CM002238.1.4818901.4819200",0,0,0,0,-1.75738698424825
"CM002238.1.4820401.4820700",0,0,0,0,-2.99239625356182
"CM002238.1.4820701.4821000",0,0,0,0,-2.43165218346987
"CM002238.1.4823401.4823700",0,0,0,0,-2.74841634823893
"CM002238.1.4825801.4826100",0,0,0,0,-2.43801768397783
"CM002238.1.4827301.4827600",0,0,0,0,-2.08647716164321
"CM002238.1.4857001.4857300",0,0,0,0,-1.87455585870033
"CM002238.1.4857301.4857600",0,0,0,0,-2.1800044729171
"CM002238.1.4859701.4860000",0,0,0,0,-1.63931181384855
"CM002238.1.4860001.4860300",0,0,0,0,0
"CM002238.1.4861201.4861500",0,0,0,0,-2.20819542849258
"CM002238.1.4861501.4861800",0,0,0,0,-2.12104032007874
"CM002238.1.4862101.4862400",0,0,0,0,-2.01864071697865
"CM002238.1.4862401.4862700",0,0,0,0,-1.77095973398221
"CM002238.1.4862701.4863000",0,0,0,0,-1.99908225865906
"CM002238.1.4869901.4870200",0,0,0,0,0
"CM002238.1.4870201.4870500",0,0,0,0,-1.96505927899889
"CM002238.1.4872901.4873200",0,0,0,0,-1.91499274284233
"CM002238.1.4873501.4873800",0,0,0,0,-1.40222736512502
"CM002238.1.4873801.4874100",0,0,0,0,0
"CM002238.1.4875901.4876200",0,0,0,0,0
"CM002238.1.4876201.4876500",0,0,0,0,-1.34950733739682
"CM002238.1.4926901.4927200",0,0,0,0,-2.22557475404779
"CM002238.1.4927201.4927500",0,0,0,0,-1.81419746302932
"CM002238.1.4962601.4962900",0,0,0,0,0
"CM002238.1.4962901.4963200",0,0,0,0,0
"CM002238.1.4965601.4965900",0,0,-1.72413554577903,0,-1.64409542312295
"CM002238.1.4965901.4966200",0,0,0,0,0
"CM002238.1.4968301.4968600",0,0,0,0,-2.20534463843261
"CM002238.1.4968601.4968900",0,0,0,0,-2.8457412418567
"CM002238.1.4968901.4969200",0,0,0,0,-2.29949277793614
"CM002238.1.4969201.4969500",0,0,0,0,-1.85498826046712
"CM002238.1.4982101.4982400",0,0,0,0,-2.06457231420088
"CM002238.1.4982401.4982700",0,0,0,0,-2.01254950689339
"CM002238.1.4984801.4985100",0,0,0,0,-2.30298575218197
