"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002238.1.163382.164182",2.56812697438022,1.96984608679073,2.00264939603649,0,0,0
"CM002238.1.166707.167507",2.70567625888469,2.70894120813134,2.90273335022411,0,0,0.922018163896933
"CM002238.1.199869.200669",2.91899403098612,2.66062950636527,2.25737490305459,0,0,1.53397763453371
"CM002238.1.218938.219738",3.63307262142251,3.8111865901264,3.70528970665638,1.77913775698641,0,2.11954155746404
"CM002238.1.221318.222118",3.35806422113878,3.11029345060556,2.91591428081984,0,0,2.30313888419132
"CM002238.1.223609.224409",2.2230092765173,2.64039476142905,2.38867198201274,0,0,0
"CM002238.1.223865.224665",2.66061739621319,3.00147696577336,2.78681780255442,0,0,0.831426684766926
"CM002238.1.225208.226008",4.33006079721936,3.94872590646396,4.13890531527747,1.85543611523517,0,1.90825834864244
"CM002238.1.229158.229958",4.25132857399124,3.8909957990268,3.86356719755858,2.86674225551655,0,2.12035619319472
"CM002238.1.233668.234468",4.19746812587174,4.15542893370686,4.10781963128629,2.82907284530837,0,2.5939064991101
"CM002238.1.234420.235220",4.02689691493942,3.99096647909414,3.80490548206988,2.34200692190756,0,1.8031226608437
"CM002238.1.238077.238877",3.83873832511633,3.63605554453417,3.30416217058897,1.45989624876957,0,1.54187802843351
"CM002238.1.238907.239707",3.94750690498899,3.84333302664323,3.33607167669169,0.909966575702109,0,2.2563347520502
"CM002238.1.243448.244248",4.15369966371667,2.93711113788715,2.99637237748674,0,0,2.78723638332294
"CM002238.1.247105.247905",4.13419144391032,3.55713906285441,3.41385127517327,1.58350779796384,0,2.72160352890546
"CM002238.1.251898.252698",2.92007198633312,2.84916703784871,2.33438192435461,0,0,0.968355813700029
"CM002238.1.264122.264922",4.55267886180615,4.79748531182861,4.87498130336944,4.23038096679608,0,3.12318399255727
"CM002238.1.266239.267039",3.05176379976377,3.8892080513986,3.44430869752177,1.13111833372944,0,0
"CM002238.1.268561.269361",4.70693270003225,4.82158400999029,4.26205718461266,2.56152577194378,0,1.88292198313359
"CM002238.1.271606.272406",4.80713630819856,5.15066909452399,4.98103483925249,4.63602103029334,0,2.11839380786557
"CM002238.1.273174.273974",4.70900122427555,4.98759848837803,5.07046482117596,4.95003302103576,0,2.2884307288139
"CM002238.1.274358.275158",4.72703095746323,5.24270543306569,5.25945002176233,4.52932124608625,0,1.66348144951117
"CM002238.1.276272.277072",0,0,0,0,0,-1.67772402549723
"CM002238.1.278901.279701",3.56721180105225,3.71081352066403,3.68230449932273,0,0,0
"CM002238.1.280499.281299",4.53139038108852,4.55960809524259,4.91396255759634,3.30485193002999,0,2.89367920275344
"CM002238.1.284885.285685",1.85194648833245,2.21902355358916,2.11448574239418,0,0,0
"CM002238.1.284989.285789",1.98240490466411,2.38769930624005,2.36984217180673,0,0,0
"CM002238.1.290525.291325",3.74638938730069,4.04359993346401,3.82246635629096,3.20896829981011,0,1.33979663931965
"CM002238.1.291502.292302",2.07123953858766,2.27474049244378,1.78445178802897,1.7181253712013,0,-0.900033546923457
"CM002238.1.295050.295850",3.68834640263979,4.07522661578363,3.91059367804513,3.31891229567682,0,1.58946285221784
"CM002238.1.298261.299061",3.88205494781916,4.24285445473536,4.1982331733889,4.43716289815199,0,1.38625355698199
"CM002238.1.299435.300235",4.25888903893005,4.50361536992969,4.56183350770929,4.77790502297293,0,2.4550145232964
"CM002238.1.343283.344083",2.83393982974566,3.40973579610243,3.57354292329773,3.55832420411776,0,0
"CM002238.1.344337.345137",3.59251410406014,4.29286318077219,4.22556642662608,4.39817312856149,0,0
"CM002238.1.381726.382526",4.39043003605195,4.57221712796753,4.62056177105432,5.06863524030809,0,0
"CM002238.1.385739.386539",3.55110729857695,3.59261008034553,3.67879903758767,4.50994457878863,0,0
"CM002238.1.386520.387320",3.75849543550042,4.06999423084075,4.20027361539878,4.77416820132266,0,0
"CM002238.1.390036.390836",4.36201695995992,4.54452668090079,4.77246187923462,5.37086385251306,0,1.47785783823749
"CM002238.1.392753.393553",3.20617508532743,3.35641651251781,3.49899694606568,4.06235517140473,0,0
"CM002238.1.393903.394703",3.96787107268035,4.43363491266608,4.29078449750599,4.83112663256563,0,0
"CM002238.1.395810.396610",4.1170194459771,4.35100316262103,4.35301528685113,5.01450814647053,0,0
"CM002238.1.398676.399476",3.93960870063134,4.62386322836133,4.41895982444013,4.83609741452702,0,1.26528380565618
"CM002238.1.400670.401470",2.55185549158968,2.66978745217398,3.06535138919142,3.11902564286485,0,0
"CM002238.1.401680.402480",1.07353739013035,0.739403816183844,1.08313145932394,2.59377369658259,0,0
"CM002238.1.426275.427075",2.75003990702297,3.01459855439741,3.27356347407488,3.73449840883009,0,0
"CM002238.1.428247.429047",3.3549950927437,3.35448356345374,3.63121275486555,4.48637355018739,0,0
"CM002238.1.429824.430624",3.35833878402015,3.70504914708208,3.61800765410342,4.66343769560144,0,0
"CM002238.1.449158.449958",3.89549248381148,4.13355401971455,4.13981834873921,5.09912401798749,0,0
"CM002238.1.452295.453095",3.52880175582575,3.50412434519246,3.92629661824977,4.89925289145536,0,0
"CM002238.1.453978.454778",3.30556408892149,3.5916113122121,3.79018267878851,4.83194235801515,0,0
"CM002238.1.455157.455957",2.98880156482953,3.21640836567587,3.25658111722808,4.39091238133904,0,0
"CM002238.1.456678.457478",2.79771109601459,2.91858785893133,3.16973469773076,4.30804259838973,0,0
"CM002238.1.459170.459970",3.18690698781892,3.41515912139048,3.94769217462693,4.59186996959404,0,0
"CM002238.1.554778.555578",1.66732227731788,3.10988800674863,2.98497204691847,4.36112879362817,0,1.48222430417483
"CM002238.1.4575276.4576076",3.41260884257554,3.45303294071359,3.33634780352737,3.23420450521438,0,2.79966736996647
"CM002238.1.4605854.4606654",2.21555978012467,3.06761941390287,2.82146278591672,3.07570684012227,0,3.00485091171198
"CM002238.1.4626622.4627422",2.99912998253737,2.80299823336812,2.47223931355111,3.35227479422822,0,3.52983491229372
"CM002238.1.4631034.4631834",3.82152500091951,3.67846649950285,3.30503432849458,3.95772769938554,0,3.38707629702257
