"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.292166.293166",4.62859735016464,4.34167670197676,4.37036434302783,5.01133366291438,0,3.36663222449585
"CM002236.1.297770.298770",4.57316835249563,4.06873062956993,4.09131377083189,4.64724146187907,0,3.24460323884511
"CM002236.1.301352.302352",4.23569859858089,3.77126260500234,3.70762068718707,4.56693356124485,0,2.60548483863431
"CM002236.1.8867649.8868649",1.78728832813224,0,0,1.35103509103339,0,1.68923676042848
"CM002236.1.9651509.9652509",2.21296169004335,2.87432508587439,2.91038504353394,0,0,0
"CM002236.1.9688732.9689732",2.78522853128735,3.36279008788065,3.15826002758398,0,0,1.7227589172729
"CM002236.1.9690543.9691543",3.23714324989733,3.34792358350487,3.20622468171908,0,0,2.85167660726391
"CM002236.1.9688977.9689977",2.9914706552191,3.51647243766966,3.33613001523204,0,0,2.18339123585248
"CM002236.1.9693340.9694340",1.53254710777545,1.83207333846945,1.7714139749417,-0.877809365658775,0,2.1962369526429
"CM002236.1.9693631.9694631",0.971580685215873,1.36080020308962,1.24842098996497,-1.23567478348496,0,1.62618213951987
"CM002236.1.9758596.9759596",3.5479891753843,4.60693312418882,4.29606245446301,0,0,0
"CM002236.1.9772169.9773169",4.1605594307542,4.97881086304592,4.38418486800752,0,0,3.17163603958477
"CM002237.1.11029.12029",4.86616397857419,4.80348134877583,4.88506770347198,-1.12885213684145,0,0.946597334993324
"CM002237.1.10641.11641",4.92809198499569,4.83225463590481,4.94132376778865,-0.850208111596955,0,1.80581288685305
"CM002237.1.13311.14311",3.66368118396126,4.95223333964352,4.17826624378581,0,0,2.73067930258345
"CM002237.1.18173.19173",3.13068730698457,3.44887383867018,3.01024030534316,-1.18893578057216,0,1.38343207143096
"CM002237.1.18041.19041",3.10042476341399,3.36156227382023,2.8562055585192,-1.28739619976867,0,1.14676510910971
"CM002237.1.35627.36627",3.23457869294292,3.78373117762632,3.39690439294172,0,0,2.08557906398774
"CM002237.1.38253.39253",0,0.769762348769754,0.680817623189405,-1.12043836965917,0,0
"CM002237.1.41401.42401",1.89871943194664,2.63472041910275,2.52661801595716,0,0,1.48127327526917
"CM002237.1.50942.51942",2.35531021631404,2.55529293259959,2.53680852565133,-0.833261888219659,0,0
