"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.189601.189900",-2.26064647360048,-1.67288869151379,-2.96618075873349,-2.97424171210113,-0.365987128338619
"CM002236.1.190201.190500",-2.39491805339728,-1.80593614659777,-3.31527199047877,-3.32878357800499,-0.708721571746305
"CM002236.1.193801.194100",-0.771860307529803,-1.24325474081037,-2.19884291929252,-1.79811586505823,0.318195106434536
"CM002236.1.194101.194400",-1.24422832908548,-0.779458734254443,-1.51789650163603,-1.00801351063663,0.38550676005063
"CM002236.1.195301.195600",-2.44136795897648,-2.10897221494818,-3.58961394276052,-2.71956934948016,-0.0675690661837159
"CM002236.1.196201.196500",-2.35288430036249,-2.22196391004991,-4.25782148014628,-3.20845085177465,-0.568228487340455
"CM002236.1.197701.198000",-1.47755164526783,-1.56088796568708,-4.89772830492308,-3.84942380938468,-0.885937123858069
"CM002236.1.198001.198300",-1.38692007495152,-1.61095590481305,-4.37283865106998,-4.03834168708404,-0.60201384929826
"CM002236.1.209101.209400",-1.15815528825095,-1.10609328235899,-3.93522107405826,-3.57964066100883,-0.953934649048853
"CM002236.1.209401.209700",-1.0506327168838,-1.17671311768383,-3.7183979234586,-3.45078049658087,-0.846056512530058
"CM002236.1.210001.210300",-1.51304831077197,-1.04681504084195,-2.54477360800813,-2.69151561367863,-0.274772397804753
"CM002236.1.210301.210600",-1.51925369828664,-1.33994259715518,-3.21995221921789,-3.16695103111595,-1.05975830569487
"CM002236.1.214201.214500",-1.6457321517279,-1.59742582142607,-1.63951028639176,-3.51420170736047,-1.20225672597152
"CM002236.1.214501.214800",-1.41013876135048,-0.921742854880248,-1.58742683318292,-3.82895063116717,-1.13228112499136
"CM002236.1.216301.216600",-1.0872189392515,-0.720406371627114,-0.750544598176495,-3.60423832965056,-0.993222778795707
"CM002236.1.216601.216900",-1.30394381852515,-1.24532590180068,-1.15905760245922,-3.67050581458567,-1.21745949870855
"CM002236.1.220801.221100",-1.03879498160199,-1.1215398770625,-0.540216599506639,-2.88727278378916,-0.786760151430835
"CM002236.1.221101.221400",-0.667959327061675,-0.502319965710903,-0.0514835592181667,-2.71400374231279,-1.06213371712447
"CM002236.1.224401.224700",-1.07222715732592,-0.443464309440669,0.0709244444872468,-1.98252094695698,0.553513234734251
"CM002236.1.246001.246300",-1.93835047649882,-1.71419912675412,-0.215986269343874,-2.37039733521152,-0.0799284099481583
"CM002236.1.246301.246600",-1.99200044801352,-1.77456002857255,0.0197245441471681,-2.71096310231813,-0.385816675189783
"CM002236.1.247201.247500",-1.93321689943568,-1.68902814480655,0.116014761746299,-3.1671730863478,-0.338741138553253
"CM002236.1.247501.247800",-1.78110216833689,-1.710930531844,0.0499851098280282,-2.758820308736,-0.367581352870192
"CM002236.1.251701.252000",-1.10195208489304,-1.33651801361909,0.208596686445475,-1.59009647853155,1.51228171657749
"CM002236.1.252001.252300",-0.980859637710591,-1.26813174256126,0.300159819940908,-0.510133686862276,1.56011956148122
"CM002236.1.255601.255900",-0.812622239386234,-0.577068628640638,0.812843347773011,-2.4094394317325,0.589889181616696
"CM002236.1.255901.256200",-0.877708279984779,-1.21322968507346,0.515716088022372,-2.48062268712481,0.488634912221913
"CM002236.1.257101.257400",-0.783769010515144,-1.08055782061667,0.329513097491669,-3.78312162691344,-0.705701313498488
"CM002236.1.257401.257700",-0.503739789968868,-0.526908049372745,0.599475092120299,-3.69952661460464,-0.903474877954193
"CM002236.1.263101.263400",-0.897494680983744,-0.781533353158316,0.0194606027825093,-4.18311196594581,-1.48836624272765
"CM002236.1.263401.263700",-0.743674640982835,-0.551701045460187,-0.446248658935088,-3.35218261124969,-1.61252333135053
"CM002236.1.265201.265500",0.111446208302027,-0.317643889123466,0.0307962770355268,-3.5835854785312,-0.864758455369811
"CM002236.1.265501.265800",0.384474185417615,-0.0641124284724013,0.395910458138114,-2.17995476943543,-0.669659521162708
"CM002236.1.291301.291600",-0.552414921175334,-0.428881588940331,-0.151428914110718,-3.99474017983141,-1.15445289387241
"CM002236.1.291601.291900",-0.117553749966601,-0.0949716752826875,0.137486076185658,-4.14014147598278,-1.32448494663163
"CM002236.1.292801.293100",-0.192649114029011,-0.0127980769956393,0.610480119862686,-4.09862936719593,-0.643266947614663
"CM002236.1.293101.293400",-0.367832033088491,-0.493022873275555,0.410574614608158,-4.03085486344177,-0.927551075808468
"CM002236.1.297601.297900",-0.90082751107314,-0.862663072155528,-0.266243302664066,-3.87576975026465,-0.85486288102953
"CM002236.1.297901.298200",-0.553194716018587,-0.520732594590782,0.0535690666848694,-3.55934212117328,-1.06487032818227
"CM002236.1.302101.302400",-0.486126543526643,-0.318686086011831,0.204281145949187,-3.36219560165033,-1.55779238971244
"CM002236.1.8867401.8867700",-2.43938713663117,-2.09458870885301,-0.848641947913965,-1.30041548140675,0.355509008985995
"CM002236.1.8867701.8868000",-2.55961842009548,-1.80136533345088,-0.971802435948251,-1.41991565458616,0.211062936320496
"CM002236.1.9651301.9651600",0.397768230903206,0.565678060093656,-2.4437777894678,-1.96944317100346,-2.69474900672224
"CM002236.1.9651601.9651900",0.411056995031434,0.523794666105468,-2.79232915966746,-2.48923386304597,-2.7347951216389
"CM002236.1.9688501.9688800",0.387044183963112,0.285899337288952,-3.06686707721764,-2.21608474355036,-0.72080333497932
"CM002236.1.9688801.9689100",0.716087616278672,0.536756462992052,-2.90217609759538,-2.20643608058786,-1.17221290381148
"CM002236.1.9689701.9690000",0.259097323949399,0.199298114044209,-4.1091972896791,-3.42734827819926,-0.472370736005586
"CM002236.1.9690301.9690600",0.121006015705384,0.226264532583863,-3.56913469840924,-2.94005995874884,-0.432360830103817
"CM002236.1.9690601.9690900",0.316870754450242,0.00273810221443751,-3.76810665875488,-3.0407963039552,-0.0880410615798242
"CM002236.1.9693301.9693600",0.164475462613862,0.197291099545594,-2.82944402863449,-2.04659956982106,1.08813295184851
"CM002236.1.9694501.9694800",0.782192052159764,0.0288488468754055,-2.10815184139896,-0.194652943259583,0.399455117510443
"CM002236.1.9759301.9759600",0.934953003090159,0.761742827098,-3.96832450639294,-4.1976311000165,-1.23741540457646
"CM002236.1.9771901.9772200",0.614889182388869,0.194377647270078,-5.16516046511076,-4.39449229053597,-1.64648502544093
"CM002236.1.9772201.9772500",1.15055038594222,0.107704698219128,-5.01105118773364,-4.97991798313025,-0.922326213613108
"CM002237.1.10801.11100",-0.230921761188279,-0.116888764596354,-5.52062229992983,-4.86870208407468,-2.36971919695114
"CM002237.1.11101.11400",-0.113890433381705,-0.000887824886040279,-6.11753751471995,-4.57293956690968,-3.19117358621284
"CM002237.1.11401.11700",-0.239659753203579,0.0637902463168552,-7.05382084465099,-4.87386010786207,-4.3454190153895
"CM002237.1.13201.13500",0.994691138773953,0.598829674214979,-4.07387628199882,-3.08605098943454,-1.1698252299375
"CM002237.1.13501.13800",1.27918780892571,0.522103658874754,-3.90166361572402,-2.89284683188125,-0.902411090756734
"CM002237.1.18001.18300",0.571208409485626,-0.562605562897831,-3.82789192702021,-3.89548524003414,-1.67087474608505
"CM002237.1.18301.18600",0.208300230160208,-0.241872917991744,-4.36426659764067,-2.92692369954685,-1.41252662643657
"CM002237.1.18601.18900",0.0553163370638072,-0.484401964137768,-4.08340969361288,-2.84701833223924,-1.14985062312124
"CM002237.1.18901.19200",0.398359263328017,0.049787384635319,-3.94402749769079,-3.24197348884688,-1.15794225682744
"CM002237.1.35401.35700",-0.126944804998626,0.0624993719453898,-4.62687182813265,-3.56950174077684,-0.79867028680228
"CM002237.1.35701.36000",0.758416409256592,0.206034729296434,-3.99538614890747,-3.0179785173566,-0.438693389121878
"CM002237.1.38101.38400",0.46033459230052,0.066165111544011,-0.829185777678381,-0.967821854007806,-0.375501999540803
"CM002237.1.41101.41400",0.605117670012953,0.804096246005646,-2.81459318625079,-2.12639159426292,-0.564730823957441
"CM002237.1.41401.41700",0.457423696274262,0.725195284612728,-2.42727457203522,-1.94365514328953,-0.184966100952415
"CM002237.1.51601.51900",0.554614134012403,-0.155359258988274,-3.79463969035194,-1.72770395269542,-1.8947971584871
"CM002237.1.51901.52200",0.13840436496004,-0.315339529641491,-3.42933682244966,-2.77778988606838,-1.41746908508949
"CM002237.1.55801.56100",0.0442732532188803,0.196858345675702,-3.59248150206798,-1.9920499018145,-0.421763952045784
"CM002237.1.56101.56400",0.142996947238003,0.303199995706889,-3.09687695996649,-2.32685498984748,-0.416556489523753
