"","WT_0hr_rep1","WT_0hr_rep2","WT_0hr_rep3","WT_24hr_rep1","WT_24hr_rep2","WT_24hr_rep3","qa_0hr_rep1","qa_0hr_rep2","qa_0hr_rep3","qa_24hr_rep1","qa_24hr_rep2","qa_24hr_rep3"
"NCU05542",63.1345119955013,513.543944511668,561.120477431781,206.699628135643,365.076844740169,408.480185733001,110.103039553432,1008.33808286512,760.210339624399,401.030051678443,403.818240358921,387.380405462975
"NCU05541",213.454778651457,331.69410580357,295.709279683271,75.7898636497359,103.962280290247,123.781874464546,103.024987010711,188.065401965459,222.954626939958,149.675783067387,84.2921569681244,119.193970911685
"NCU05540",291.621317312554,484.447970318372,462.348730324458,175.694683915297,222.430925272156,263.03648323716,226.497681367059,615.056660515968,685.74782344251,145.254979348097,137.219790413226,126.643594093665
"NCU05539",285.608506646315,442.258807738093,345.39813405628,523.63905794363,316.722295767961,303.265592438137,434.12055595353,232.420449598822,222.521705334249,391.556900851393,345.009758753253,156.442086821586
"NCU12099",102.21778132605,1.45479870966478,9.69538621912364,3.44499380226072,3.62659117291558,6.18909372322729,36.963163278652,3.54840381066904,5.19505926850387,3.78926033081993,11.7616963211336,7.44962318198029
"NCU05537",24.0512426649529,77.1043316122334,61.8080871469132,573.591468076411,125.72182732774,154.727343080682,55.0515197767158,94.6241016178412,78.7917322389753,589.86152483097,356.771455074387,700.264579106147
"NCU05536",1004.13938126178,359.335281287201,382.967755655384,361.724349237376,440.026395647091,420.858373179456,731.398762747795,356.023182337127,380.971013023617,356.190471097074,364.612585955143,514.02399955664
"NCU05535",1794.82398387211,1370.42038450422,930.757077035869,583.926449483193,585.090042563714,535.356607059161,1160.80061700618,706.13235832314,888.78805651987,516.602491768451,329.327496991742,238.387941823369
"NCU05534",30035.4924805265,1162.38416902216,929.545153758479,16944.2020164194,4610.60624450001,2364.23380227283,9454.70529650967,708.497960863586,914.33043125668,2456.70378114826,4191.08445576395,4320.78144554857
"NCU05527",1019.17140792738,1110.01141547423,1032.55863233667,2489.00802213337,1912.42241185082,1949.5645228166,964.188046375051,836.240498047671,1086.63323032873,1498.65246083928,1068.35408250297,1586.7697377618
"lys-5",8457.01820206405,16752.00714179,15527.1610299265,8208.55898233674,10842.2987432933,15984.8818136653,8149.19782751898,25399.474476769,25128.0687601475,8909.18258114613,7380.46444151136,5847.95419785453
"NCU05525",1627.968487884,5832.28802704611,4848.90503283921,6442.99965867812,3603.62276215378,4330.8183328283,3014.46393291645,4229.10594168239,5046.13423614009,4151.76623580171,3806.86904260692,3519.94695348569
"NCU05524",1479.1514238946,481.538372899042,549.001244657876,1646.70703748063,1123.03439987953,1312.08786932419,1218.21148763047,325.270349311329,574.919892381094,1168.98681205795,1331.03196700829,2290.75912845894
"NCU05523",129.275429324122,186.214234837092,183.000414885959,43.0624225282591,99.1268253930259,83.5527652635684,100.665636163137,197.527812127243,200.009781837399,89.6791611627384,145.060921293981,74.4962318198029
"NCU05522",826.761466607755,1328.23122192394,1059.82690607795,375.504324446419,360.241389842948,665.327575246934,769.148376308972,865.219129168135,810.862167492312,260.195876049635,156.822617615115,201.139825913468
"NCU05521",853.819114605827,967.441141927079,918.637844261965,1302.20765725455,1260.84486445032,1135.69869821221,729.825862182746,1013.66068858112,1037.28016727794,1112.77945048412,1678.00200848173,1057.8464918412
"NCU05520",48.1024853299057,1.45479870966478,6.6655780256475,18.0862174618688,32.6393205562402,30.9454686161365,22.8070581932108,14.1936152426762,11.255961748425,12.6308677693998,39.2056544037788,67.0466086378226
"NCU05519",204.435562652099,13.093188386983,26.66231210259,1801.73175858236,2136.06220084728,1473.0043061281,108.530138988383,35.4840381066904,33.3349636395665,2585.53863239613,1568.22617615115,1117.44347729704
"NCU05518",24.0512426649529,81.4687277412277,92.1061690816746,29.2824473192162,58.0254587666493,46.4182029242047,45.6141163864216,321.72194550066,264.948022693697,59.365078516179,62.729047046046,67.0466086378226
"NCU05517",577.229823958869,1398.06155998785,1362.20176378687,501.246598228935,626.191409190091,748.880340510502,740.049715855565,1470.22197888721,1209.58296634998,765.430586825627,670.416690304617,476.775883646739
"NCU12100",420.896746636675,924.524579991968,830.167445012461,137.799752090429,309.46911342213,440.972927779945,302.783358771937,544.679984937698,459.329823656883,179.358322325477,113.696397770958,148.992463639606
"NCU05516",387.826287972365,1407.51775160068,1171.92980923657,82.6798512542574,203.089105683273,228.99646775941,376.709685329241,1031.40270763447,1499.64044217478,84.6268140549785,62.729047046046,104.294724547724
"un-4",264.563669314482,685.210192252112,666.55780256475,444.404200491633,432.77321330126,634.382106630797,320.871715270001,680.702131013345,671.894332059833,510.287057883751,313.64523523023,268.18643455129
"NCU05514",264.563669314482,861.24083612155,670.193572396921,439.236709788242,309.46911342213,287.792858130069,352.329726570981,721.508774836039,617.346209740543,410.503202505493,403.818240358921,216.039072277428
"NCU05513",847.806303939589,1091.09903224859,968.326698634973,1133.40296094378,773.672783555324,990.254995716367,591.410612458432,956.886227610419,924.287628187979,1013.62713849433,795.874784396709,1072.74573820516
"NCU17100",2928.23879445801,22165.3131404526,20644.5070687077,23650.7437009704,11703.0097149986,14570.6738979079,4182.34260246535,8365.36198365227,10507.8732137605,16344.3428936033,8797.74884820796,11591.6136711613
"NCU05512",1330.33435990521,2270.94078578672,2486.26060356652,11265.9909818431,4239.48508113832,4965.20043945909,2401.03271254733,2573.18416337017,5330.13080948497,5367.48725860644,3561.8337025833,5166.31367670333
