"","WT_0hr_rep1","WT_0hr_rep2","WT_0hr_rep3","WT_0hr_rep4","WT_0hr_rep5","WT_24hr_rep1","WT_24hr_rep2","WT_24hr_rep3","qa_0hr_rep1","qa_0hr_rep2","qa_0hr_rep3","qa_0hr_rep4","qa_0hr_rep5","qa_24hr_rep1","qa_24hr_rep2","qa_24hr_rep3"
"NCU08068",6.02422101387351,6.90260570384048,6.70587033639376,5.41944558886563,6.13493173086557,6.96452090506005,6.72741862779275,6.74190469201806,6.0478927061071,6.8039029257091,7.47995700595941,5.76455188844177,4.65661675583913,6.62625857240482,6.7937995032613,6.03653514503829
"NCU08069",6.35731648247692,6.30722531417032,6.13342536507194,6.00482915376816,6.40000890915304,5.97933668348439,6.25239788469088,5.90845046993524,6.62352540534174,6.15738153214239,5.77940796900772,6.49463188173699,7.06335762140535,6.26074996915124,5.22765705912103,6.03653514503829
"NCU08070",11.9127351187207,9.85799209306766,9.76764819898482,11.9391724818799,12.3330698840105,11.402500201505,10.0132105310802,9.86824191509508,11.3624277318093,9.01797290834482,9.59783128040221,11.1554018163883,10.3400414752887,9.90016889218015,9.43580127928756,9.62325622657586
"cyt-21",7.7952703615183,9.19931293911008,9.15151956418852,7.61506897690038,7.56556692704516,8.38828655377245,8.73435359388756,8.43443290024849,7.93437813368013,9.19062389020848,9.03082361454923,8.45993240748581,8.49764973796342,8.82730723909368,8.58464967795036,8.38210071027713
"NCU08072",10.2116034992203,9.51989684133486,9.73253693516836,10.4471197783576,10.3924032442136,10.3254484818805,10.1856687090135,9.73226293283805,9.69629509327686,9.75431533025386,9.95678629925847,9.93746444335759,10.2340340375904,10.3009605496539,10.6681541846865,10.8684143625558
"NCU08073",4.35452802290564,3.76029334070557,4.14165904042168,3.76029334070557,4.24222238769823,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557,4.29113047221259,4.31561922402601,3.76029334070557,5.47854097102826,3.76029334070557,3.76029334070557,3.76029334070557
"NCU08074",4.35452802290564,4.17610402852638,4.14165904042168,4.62341715328033,4.58752630780086,3.76029334070557,3.76029334070557,3.76029334070557,4.70817066949344,3.76029334070557,3.76029334070557,4.82092972898089,5.95287745190398,4.30588795233363,3.76029334070557,3.76029334070557
"NCU08076",6.37824604117205,6.14947635726128,6.34033490579791,6.40765156606316,5.47007136453774,6.86715350889812,7.47481692442426,6.86766387555465,6.39816297314375,6.98607162505665,7.24714174607337,6.05458394793844,6.48975156481474,7.47624547789852,7.62338764094482,7.70935765566961
"NCU08077",4.35452802290564,4.34633828548441,4.46870390197435,3.76029334070557,3.76029334070557,4.21234589953771,3.76029334070557,3.76029334070557,3.76029334070557,4.29113047221259,4.31561922402601,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557
"NCU08078",3.76029334070557,4.58357957665135,4.60348558015726,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557,4.29113047221259,4.31561922402601,3.76029334070557,3.76029334070557,3.76029334070557,4.43889888795885,4.42776853041957
"NCU08079",3.76029334070557,4.34633828548441,4.2980785101292,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557,4.3632246500607,3.76029334070557,4.13670433679041,4.08222555995946,4.82092972898089,3.76029334070557,4.30588795233363,4.43889888795885,3.76029334070557
"NCU08083",4.35452802290564,4.17610402852638,4.2980785101292,3.76029334070557,4.24222238769823,3.76029334070557,3.76029334070557,3.76029334070557,4.49967499808685,3.76029334070557,4.21463952237119,4.82092972898089,5.00902436930708,3.76029334070557,3.76029334070557,3.76029334070557
