"order_idx","gene","cluster","K27_WT","K27_cac1","K27_ash1","K36_WT","K36_cac1","K36_set7","RNA_cac-1","RNA_set-7","RNA_ash-1"
32,"NCU09171","K36 lost",4.15365008426875,2.93706079919126,2.78719534048878,1.25148447705116,-0.0156667590891905,1.24660513248898,1.08432218323833,0.559183931701616,-0.538025583878228
33,"NCU09908","K36 lost",3.42562481120271,2.93622833679736,2.69398459143155,0.712248120409227,0.121218631067498,0.785159816904054,1.49845410238351,-0.531579363036877,-0.531579363036877
34,"NCU08083","K36 lost",3.85444361111821,2.89808294317391,2.64903504319099,-0.535484768267171,-1.31908806721727,-0.62998063623833,0.913072137432337,0.817664316762084,-0.86536822709721
35,"NCU05071","K36 lost",3.28858757149024,2.84906037703347,3.42390472424339,1.13977553213381,0.441431765065367,1.01863214370566,0.717418486137486,0.954594368608828,-0.53915055834742
36,"NCU05176","K36 lost",2.49638515711923,2.80249048246805,-0.571889210080583,-1.4083227860399,-1.8587624578661,-2.10484153610593,-0.63890204314822,0.252642798598797,1.30068948376691
37,"NCU12068","K36 lost",3.26380618970758,2.77068868869318,-0.245772135863797,0.722184199246763,0.0713086497631017,-0.156909170947594,0.520405233413654,1.12626992417459,-0.594290734648303
38,"NCU16728","K36 lost",4.21258255785265,2.68296299817562,2.97824419785179,1.05392210109683,0.0694130613433998,1.02621620071972,0.748752354823786,0.975797953947073,-0.870975168112709
39,"NCU09158","K36 lost",2.91894760922425,2.66044762439551,1.53395919953418,0.480286578177914,-0.0228502336979229,0.133468096780316,-0.0818556247338457,-0.268588278368806,1.37099670643023
40,"NCU07638","K36 lost",4.37829706585458,2.65649157833717,3.27419671597831,1.14838643340583,0.0410034390675085,1.01071871877974,0.560036381933098,-0.56569174516181,1.09056296852943
41,"NCU07637","K36 lost",4.33667482153423,2.48314891259642,3.41683657270586,0.956108734861029,-0.568752444421184,0.948650270719023,1.49819914629754,-0.53403854410571,-0.430122058086117
42,"NCU04920","K36 lost",3.45836831083144,2.46848566017307,2.28064136357049,0.905466882768034,0.0284686784124437,0.332210420716663,-0.276475706658816,1.45606281434998,-0.357705863543913
43,"NCU16906","K36 lost",4.1324902557035,2.4595407155286,2.31791694434144,-0.0711387594904715,-1.53329613204512,-1.01783721896169,0.00773716558145618,1.16917617024764,0.0972563621379832
44,"NCU07635","K36 lost",3.5927791283253,2.29618553824891,2.92349918810162,0.627886693417973,-0.0841819884327062,0.465065736103671,-0.5,-0.5,1.5
