"order_idx","gene","cluster","K27_cac1","K27_cac2","K27_set7","K36_cac1","K36_cac2","K36_set7","RNA_cac-1","RNA_cac-2","RNA_set-7"
76,"NCU08207","K27 lost only",2.81932351719578,2.49823691895734,0.27698012633926,0.643402140795583,0.638382889076599,0.76479425697034,0.0680472650883662,-0.577041059271045,1.35270331118534
77,"NCU08915","K27 lost only",2.27403859315535,2.94617615615273,0.747640350996126,1.00684707628963,1.03143154183601,1.4219840670668,2.54260927961715,-0.104264315676322,-0.264059766053249
78,"NCU07647","K27 lost only",2.40793389774469,2.66236640925539,0.682855749747447,0.792968563685757,0.590008080809271,1.59901237619733,1.01931652330407,0.117351785652991,-0.563648489973308
79,"NCU12076","K27 lost only",3.08685275496155,1.92165425185818,0.348204991228096,0.572049393844971,0.410823657434032,0.333861435149293,0.893768019958444,1.96465937252977,0.671012231146405
80,"NCU07106","K27 lost only",2.79118672409292,2.1666638121247,0.584142203017006,1.54800550337215,1.35731736286267,1.56961802589417,0.272065878860806,1.93336598271362,-0.603457464037845
81,"NCU12069","K27 lost only",2.87870176388358,2.07195430127749,0.91305230292778,0.963879640376233,0.929835698396714,1.39410761029514,2.14466340115754,0.54080885022642,-0.66691955317099
82,"NCU08084","K27 lost only",2.23502165386068,2.68305728318184,0.330763164061565,-1.22941951485933,-1.07040896748198,-0.27492494930088,0.780888180195557,0.426927062665671,2.26362827532257
83,"NCU08752","K27 lost only",2.70048787593552,2.2104568654811,-0.731748738705532,-1.87282942178525,-1.55052535299445,-3.20633276241088,0,0,0
84,"NCU04704","K27 lost only",3.08200094167231,1.77735578705575,0.624272375367206,1.01945139571804,0.558075656203899,1.64674754718332,0.829009387840563,1.01577489438233,-1.07241236789866
85,"NCU04708","K27 lost only",3.0376051218526,1.80535521672206,0.64605733491227,1.04133899580493,1.0253159312298,1.50464191342566,1.18159650685303,1.86482489642269,-0.652287132610981
86,"NCU04875","K27 lost only",2.40663256713959,2.40169502722472,0.633141984180315,0.583113107794222,0.651537999754921,1.35218475207543,2.02682066169959,0.0979777568176788,-0.581178546525629
87,"NCU07116","K27 lost only",2.79716669464793,1.96208263692321,0.468269826399517,0.495867695368402,0.273473706444432,0.766114099377928,0.785380672957917,0.494247424429557,0.790674867123243
88,"NCU10644","K27 lost only",2.22236937349713,2.44227656147943,0.489116158732948,0.63581141234997,0.763307838878037,1.37278071122542,0.947063813150756,1.17699062255572,-0.354276206761172
89,"NCU07635","K27 lost only",2.29618553824891,2.33233841500017,0.326278486647199,-0.0841819884327062,-0.12984886986332,0.465065736103671,-0.333333333333333,-0.333333333333333,-0.333333333333333
90,"NCU08077","K27 lost only",2.08437500496954,2.51430220239233,0.526950422373179,0.12156160938513,0.0879625868228745,1.1438396172771,2.40768383345591,0.379292731578751,-0.425574465635826
91,"NCU10502","K27 lost only",2.25181158066255,2.32571070779768,0.564600629817953,1.20826837969107,1.17271434370615,1.75388040535904,1.20163981074053,0.874436259752718,-0.438477441371333
92,"NCU14162","K27 lost only",2.70997055511906,1.86432859873172,0.957574694966672,1.15444626401036,1.03328509253048,1.67563302231577,0,0,0
93,"NCU14057","K27 lost only",1.80143369067336,2.7442869112746,0.978838634283327,0.979448414286714,0.922782957071087,1.84722809478023,0,0,0
94,"NCU09835","K27 lost only",1.80565505754522,2.73796119164077,0.851656393701536,1.10229363361866,1.11774689291116,1.70575061129688,2.32433705470231,0.755297964299431,-0.576036919512529
95,"NCU09836","K27 lost only",1.82656314221835,2.70357517654685,0.430524125798127,0.169750112712914,0.237816881925615,0.392323476779296,1.48786477789798,0.251603333433107,0.458932452201592
96,"NCU04703","K27 lost only",2.68513249475907,1.8065210571009,0.556208695166981,1.20853605285888,1.11357867584875,1.81075512910159,1.84807641210462,-0.179906381212028,-0.00816150023858026
97,"NCU07648","K27 lost only",1.97929676661019,2.50874559900977,0.515759792842208,0.526784780574492,0.699706935672957,1.25277844066673,1.23514785386899,1.32530454744624,-0.675778108911233
