"order_idx","gene","cluster","K27_cac1","K27_cac2","K27_ash1","K36_cac1","K36_cac2","K36_set7","RNA_cac1","RNA_cac2","RNA_set7"
43,"NCU16728","K36 lost",2.68296299817562,2.80720888623783,2.97824419785179,0.0694130613433998,-0.0365733288229251,1.02621620071972,5.46687366080133,4.31753115854812,5.20987845635339
44,"NCU07637","K36 lost",2.48314891259642,2.66945136809337,3.41683657270586,-0.568752444421184,-0.633173569928988,0.948650270719023,8.6812696491759,6.83902093975666,2.46144088256925
45,"NCU04920","K36 lost",2.46848566017307,2.5406628053366,2.28064136357049,0.0284686784124437,0.0623147876932954,0.332210420716663,3.49414378996191,1.90585734933005,4.80576169330081
46,"NCU08084","K36 lost",2.23502165386068,2.68305728318184,2.55473360932321,-1.22941951485933,-1.07040896748198,-0.27492494930088,4.41297487461599,3.40855435182027,5.61761383291979
47,"NCU09158","K36 lost",2.66044762439551,2.2571771179685,1.53395919953418,-0.0228502336979229,-0.458764886350371,0.133468096780316,2.7590155767491,2.83354794574808,2.87339438958216
48,"NCU16906","K36 lost",2.4595407155286,2.22020881584319,2.31791694434144,-1.53329613204512,-1.42972577588381,-1.01783721896169,5.60429498700259,4.93012370554239,5.5309660095477
49,"NCU07635","K36 lost",2.29618553824891,2.33233841500017,2.92349918810162,-0.0841819884327062,-0.12984886986332,0.465065736103671,2.42758152450666,0.755433531489273,2.46090483314353
50,"NCU05176","K36 lost",2.80249048246805,1.8111282050403,-0.571889210080583,-1.8587624578661,-2.21701148027241,-2.10484153610593,1.77528475537418,2.09092832788004,2.23789513447738
51,"NCU08077","K36 lost",2.08437500496954,2.51430220239233,3.11306344140955,0.12156160938513,0.0879625868228745,1.1438396172771,8.29910754638202,4.46447487941365,2.13807692152608
52,"NCU07648","K36 lost",1.97929676661019,2.50874559900977,3.06966024748006,0.526784780574492,0.699706935672957,1.25277844066673,8.41287665246419,7.93464386282975,2.14115409281344
53,"NCU12068","K36 lost",2.77068868869318,1.70774060792375,-0.245772135863797,0.0713086497631017,-0.0339978956104829,-0.156909170947594,3.55095164956643,2.82296941523304,4.10947583663021
54,"NCU15684","K36 lost",2.71043659930246,1.57446129009639,-0.956452994455071,-0.383203535029031,-0.614678757235689,-0.440713197239038,0,0,0
55,"NCU08078","K36 lost",1.9679179500209,2.29513278604535,2.91518039123425,-0.246573324512527,-0.266875159946652,0.775529899747868,10.1778026552941,6.35141579093832,4.04695302495483
56,"NCU16926","K36 lost",1.73399632063685,2.39003787612612,2.62848091883535,0.331423752257575,0.146641733990304,1.18277815692262,3.40851352445732,2.70114957795924,3.62858925333322
57,"NCU16307","K36 lost",2.01849692338914,2.02092430401815,3.04753561349712,1.2920917956744,0.810010500195378,1.8104809540577,-1.82793353137846,0.422558787920567,1.40560667383319
58,"NCU11364","K36 lost",1.98398973716254,2.01350095462864,1.70126446503216,0.472147657708174,-0.0268201932619799,0.917081847505007,3.9258831608496,3.1580089870454,3.60668051069942
59,"NCU04869","K36 lost",1.97304476224586,2.00250353287661,3.38281078638135,0.489281615460081,0.213931948914868,1.83474606214322,13.258391063879,11.9002097535032,2.46148115223369
60,"NCU09149","K36 lost",1.96981055584773,2.00255078428933,-0.226820482008517,0.483437574747296,0.464695908827269,1.6158278174374,2.42307368449291,0.755635915853456,2.46095622441457
61,"NCU11363","K36 lost",1.89299176058171,2.03112861745902,1.58250276321497,0.513203385583704,0.0526727264323166,1.10884650017424,4.63939090260595,2.91158896794166,4.98195586754456
62,"NCU05056","K36 lost",1.52397022345891,1.77698592020192,2.54716046039155,-0.144202642695632,-0.092887870128797,0.901177756324737,5.9651503757201,5.76593040598189,3.6967877252656
63,"NCU04867","K36 lost",1.31788384553062,1.59117635210564,3.70036675335468,0.156370755384133,0.115861365997817,1.62968130507908,10.6814329564045,11.7010552069387,2.4615255982424
64,"NCU16305","K36 lost",1.45100636798829,1.39079040654666,3.0927397069942,-1.55996019157678,-1.61349984155493,-0.484429590333201,3.87524888261291,1.76363269928229,1.88741738440646
65,"NCU16738","K36 lost",1.47776181086403,1.35721088360127,3.19360605016003,-0.309509922550433,-0.174118579047499,0.855048318300366,8.31669766541532,8.47498198743351,5.29504455363557
66,"NCU04937","K36 lost",1.7554169183494,1.00615894888567,2.12361854480283,0.420488236593235,-0.151720157077274,1.00728051078415,1.56590273307979,-0.374308452048592,1.63330992810945
67,"NCU15141","K36 lost",1.15558171652167,1.52941481489782,3.48745620898046,0.0489360006292638,-0.0688901952720972,1.56135037571734,0,0,0
68,"NCU04710","K36 lost",1.82523028817343,0.711897564078904,-0.140473792396749,-0.282719029995856,-0.434836756912131,1.06511656990273,6.85053737310426,8.20679854534401,5.14730170012718
69,"NCU15145","K36 lost",1.23099558342727,1.2889669449964,3.30547420787996,0.686698922881044,0.355107641073664,1.8834848223501,0,0,0
70,"NCU07625","K36 lost",1.08656855747849,1.35306775904563,3.3812794334936,0.140034493506137,0.0437826382793033,1.16838887452568,7.1495651627772,5.39392632670448,2.46138365634525
71,"NCU08080","K36 lost",1.11258074077889,1.08403557840701,2.87036855946262,-1.16827052765951,-1.50587509558923,0.021632154599071,1.85728940204139,0.186011779112901,1.89147579755634
72,"NCU07050","K36 lost",1.48953926795155,0.700742974132592,-0.328654718841284,0.575109088691092,0.28136324161275,1.09949180185494,5.05438073625696,3.00379712455072,3.16287366160152
73,"NCU07091","K36 lost",1.26442581096468,0.627290134521966,-0.0177648282930114,0.350676975501065,-0.129907747723088,1.31826299708693,9.91122766021621,9.08692049707639,3.96817576312119
74,"NCU04852","K36 lost",0.938333482244626,0.926679368108899,3.59160015880536,0.491160359478914,0.12935317691988,1.29865146404653,7.20974360815441,3.27836302308876,2.19197136831575
